date,value
2013/4/28,135.98
2013/4/29,147.49
2013/4/30,146.93
2013/5/1,139.89
2013/5/2,125.6
2013/5/3,108.13
2013/5/4,115
2013/5/5,118.8
2013/5/6,124.66
2013/5/7,113.44
2013/5/8,115.78
2013/5/9,113.46
2013/5/10,122
2013/5/11,118.68
2013/5/12,117.45
2013/5/13,118.7
2013/5/14,119.8
2013/5/15,115.81
2013/5/16,118.76
2013/5/17,125.3
2013/5/18,125.25
2013/5/19,124.5
2013/5/20,123.62
2013/5/21,123
2013/5/22,124
2013/5/23,126.93
2013/5/24,133.85
2013/5/25,133.22
2013/5/26,136
2013/5/27,135.47
2013/5/28,130.58
2013/5/29,132.59
2013/5/30,132.25
2013/5/31,129.9
2013/6/1,129.78
2013/6/2,129.4
2013/6/3,122.5
2013/6/4,123.84
2013/6/5,123.47
2013/6/6,123.1
2013/6/7,119
2013/6/8,111.42
2013/6/9,108.99
2013/6/10,110.1
2013/6/11,109.6
2013/6/12,111.79
2013/6/13,110.3
2013/6/14,104.7
2013/6/15,103.7
2013/6/16,101.6
2013/6/17,102.21
2013/6/18,111.11
2013/6/19,110.22
2013/6/20,114.3
2013/6/21,114.99
2013/6/22,109.96
2013/6/23,108.8
2013/6/24,108.33
2013/6/25,106.47
2013/6/26,105.49
2013/6/27,104
2013/6/28,101.74
2013/6/29,99.99
2013/6/30,98.12
2013/7/1,97.66
2013/7/2,92.3
2013/7/3,90.98
2013/7/4,83.11
2013/7/5,80
2013/7/6,75
2013/7/7,74.56
2013/7/8,80
2013/7/9,78.3
2013/7/10,87
2013/7/11,90.28
2013/7/12,104
2013/7/13,98.25
2013/7/14,98.7
2013/7/15,101.9
2013/7/16,99.86
2013/7/17,99.97
2013/7/18,98.8
2013/7/19,95.2
2013/7/20,93.1
2013/7/21,91.95
2013/7/22,92
2013/7/23,96.82
2013/7/24,95.99
2013/7/25,97.33
2013/7/26,97.47
2013/7/27,97
2013/7/28,100.58
2013/7/29,102.5
2013/7/30,107.99
2013/7/31,111.34
2013/8/1,108
2013/8/2,108
2013/8/3,105.78
2013/8/4,105.95
2013/8/5,107.77
2013/8/6,107.38
2013/8/7,106.75
2013/8/8,106.75
2013/8/9,105.75
2013/8/10,103.9
2013/8/11,105.19
2013/8/12,108
2013/8/13,109.35
2013/8/14,115
2013/8/15,113.25
2013/8/16,112.3
2013/8/17,113.75
2013/8/18,114.69
2013/8/19,123.06
2013/8/20,123.01
2013/8/21,124.91
2013/8/22,123.5
2013/8/23,122
2013/8/24,121.39
2013/8/25,122.99
2013/8/26,122.75
2013/8/27,127.24
2013/8/28,127.32
2013/8/29,123.7
2013/8/30,135.75
2013/8/31,140.89
2013/9/1,145.81
2013/9/2,146.5
2013/9/3,138.34
2013/9/4,144.5
2013/9/5,131.44
2013/9/6,127.34
2013/9/7,125.94
2013/9/8,124.72
2013/9/9,129.06
2013/9/10,129.74
2013/9/11,137.83
2013/9/12,136.08
2013/9/13,137.58
2013/9/14,135.85
2013/9/15,131.44
2013/9/16,132.72
2013/9/17,132.76
2013/9/18,133.2
2013/9/19,131.77
2013/9/20,135.62
2013/9/21,128.61
2013/9/22,133.94
2013/9/23,132.72
2013/9/24,127.46
2013/9/25,129.69
2013/9/26,134.93
2013/9/27,134.74
2013/9/28,135.63
2013/9/29,140.61
2013/9/30,138.35
2013/10/1,134.63
2013/10/2,133.59
2013/10/3,123.63
2013/10/4,130.09
2013/10/5,130.44
2013/10/6,129.66
2013/10/7,130.27
2013/10/8,127.47
2013/10/9,131.75
2013/10/10,131.5
2013/10/11,131.81
2013/10/12,135.66
2013/10/13,138.66
2013/10/14,144.12
2013/10/15,145.39
2013/10/16,152.23
2013/10/17,147.42
2013/10/18,155.96
2013/10/19,177.48
2013/10/20,174.91
2013/10/21,184.82
2013/10/22,196.27
2013/10/23,213.62
2013/10/24,217.42
2013/10/25,198.87
2013/10/26,188.41
2013/10/27,196.44
2013/10/28,198.62
2013/10/29,204.79
2013/10/30,209.16
2013/10/31,205.18
2013/11/1,206.65
2013/11/2,207.76
2013/11/3,215.05
2013/11/4,231.01
2013/11/5,250.66
2013/11/6,263
2013/11/7,304.17
2013/11/8,338.66
2013/11/9,370.82
2013/11/10,350.7
2013/11/11,351.27
2013/11/12,362.81
2013/11/13,414.05
2013/11/14,425.9
2013/11/15,437.89
2013/11/16,450.26
2013/11/17,500.58
2013/11/18,703.78
2013/11/19,806.11
2013/11/20,599.65
2013/11/21,733.4
2013/11/22,780.85
2013/11/23,844.97
2013/11/24,807.36
2013/11/25,810.68
2013/11/26,928.54
2013/11/27,1001.96
2013/11/28,1077.56
2013/11/29,1146.97
2013/11/30,1156.14
2013/12/1,1133.08
2013/12/2,1055.42
2013/12/3,1096
2013/12/4,1156.12
2013/12/5,1154.36
2013/12/6,1042.38
2013/12/7,854.64
2013/12/8,802.51
2013/12/9,921.93
2013/12/10,997.23
2013/12/11,1001.58
2013/12/12,901.94
2013/12/13,941.79
2013/12/14,904.65
2013/12/15,886.16
2013/12/16,882.25
2013/12/17,754.83
2013/12/18,679.32
2013/12/19,707.23
2013/12/20,729.16
2013/12/21,654.27
2013/12/22,666.74
2013/12/23,680.91
2013/12/24,684.39
2013/12/25,682.7
2013/12/26,777.75
2013/12/27,777.51
2013/12/28,747.06
2013/12/29,748.61
2013/12/30,766.6
2013/12/31,760.58
2014/1/1,775.35
2014/1/2,820.31
2014/1/3,834.15
2014/1/4,859.51
2014/1/5,952.4
2014/1/6,1017.12
2014/1/7,965.74
2014/1/8,870.68
2014/1/9,864.36
2014/1/10,871.19
2014/1/11,921.48
2014/1/12,928.52
2014/1/13,861.29
2014/1/14,855.69
2014/1/15,872.81
2014/1/16,866.16
2014/1/17,842.91
2014/1/18,841.49
2014/1/19,870.96
2014/1/20,886.39
2014/1/21,881.2
2014/1/22,870.15
2014/1/23,851.57
2014/1/24,822.43
2014/1/25,861.45
2014/1/26,897.02
2014/1/27,893
2014/1/28,832.5
2014/1/29,836.87
2014/1/30,830.5
2014/1/31,831.87
2014/2/1,853.52
2014/2/2,844.72
2014/2/3,826.48
2014/2/4,840.17
2014/2/5,837.32
2014/2/6,819.81
2014/2/7,783.2
2014/2/8,721.82
2014/2/9,712.27
2014/2/10,703.71
2014/2/11,712.46
2014/2/12,672.9
2014/2/13,657.99
2014/2/14,691.72
2014/2/15,661.84
2014/2/16,665.1
2014/2/17,656.95
2014/2/18,645.76
2014/2/19,631.77
2014/2/20,627.73
2014/2/21,582.96
2014/2/22,614.48
2014/2/23,639.91
2014/2/24,607.61
2014/2/25,541.38
2014/2/26,603.8
2014/2/27,594.05
2014/2/28,584.14
2014/3/1,573.38
2014/3/2,570.48
2014/3/3,702.91
2014/3/4,696.22
2014/3/5,674.28
2014/3/6,669.77
2014/3/7,665.34
2014/3/8,635.14
2014/3/9,643.95
2014/3/10,644.76
2014/3/11,638.42
2014/3/12,648.03
2014/3/13,644.2
2014/3/14,639.53
2014/3/15,639.14
2014/3/16,637.52
2014/3/17,632.68
2014/3/18,622.39
2014/3/19,622
2014/3/20,609.75
2014/3/21,604.59
2014/3/22,572.55
2014/3/23,570.24
2014/3/24,586.56
2014/3/25,585.44
2014/3/26,590.03
2014/3/27,580.56
2014/3/28,526.02
2014/3/29,504.86
2014/3/30,492.37
2014/3/31,483.02
2014/4/1,495.34
2014/4/2,495.05
2014/4/3,449.56
2014/4/4,454.65
2014/4/5,463.57
2014/4/6,466.32
2014/4/7,462.56
2014/4/8,457.42
2014/4/9,455.73
2014/4/10,443.37
2014/4/11,429.77
2014/4/12,439.61
2014/4/13,427.4
2014/4/14,469.75
2014/4/15,519
2014/4/16,542.38
2014/4/17,533.52
2014/4/18,498.6
2014/4/19,503.56
2014/4/20,510.87
2014/4/21,510.57
2014/4/22,503.22
2014/4/23,493.25
2014/4/24,500.46
2014/4/25,500.3
2014/4/26,464.54
2014/4/27,459.33
2014/4/28,447.53
2014/4/29,451.64
2014/4/30,451.1
2014/5/1,460.61
2014/5/2,457.93
2014/5/3,449.4
2014/5/4,439.77
2014/5/5,440.97
2014/5/6,448.04
2014/5/7,446.13
2014/5/8,448.4
2014/5/9,452.69
2014/5/10,455.77
2014/5/11,455.34
2014/5/12,442.26
2014/5/13,441.98
2014/5/14,446.66
2014/5/15,449.8
2014/5/16,450.66
2014/5/17,451.98
2014/5/18,449.77
2014/5/19,447.56
2014/5/20,491.44
2014/5/21,494.37
2014/5/22,525.36
2014/5/23,541.96
2014/5/24,525.17
2014/5/25,576.48
2014/5/26,588.39
2014/5/27,589.52
2014/5/28,578.62
2014/5/29,577.1
2014/5/30,618.46
2014/5/31,624.72
2014/6/1,671.51
2014/6/2,665.5
2014/6/3,674.11
2014/6/4,668.56
2014/6/5,663.53
2014/6/6,661.37
2014/6/7,656.94
2014/6/8,658.88
2014/6/9,657.7
2014/6/10,659.62
2014/6/11,657.04
2014/6/12,638.11
2014/6/13,615.14
2014/6/14,601.27
2014/6/15,592.94
2014/6/16,608.72
2014/6/17,610.89
2014/6/18,615.88
2014/6/19,612.24
2014/6/20,599.75
2014/6/21,599.46
2014/6/22,606
2014/6/23,603.21
2014/6/24,596.97
2014/6/25,583.6
2014/6/26,581.63
2014/6/27,600.12
2014/6/28,604.47
2014/6/29,604.08
2014/6/30,645.15
2014/7/1,657.86
2014/7/2,656.68
2014/7/3,650.77
2014/7/4,648.43
2014/7/5,633.22
2014/7/6,638.65
2014/7/7,637.16
2014/7/8,626.7
2014/7/9,627
2014/7/10,626.12
2014/7/11,632.09
2014/7/12,636.66
2014/7/13,634.73
2014/7/14,627.34
2014/7/15,625.14
2014/7/16,623.09
2014/7/17,626.29
2014/7/18,629.21
2014/7/19,629.17
2014/7/20,628.56
2014/7/21,624.09
2014/7/22,624.3
2014/7/23,624.43
2014/7/24,620.43
2014/7/25,607.07
2014/7/26,602.09
2014/7/27,598.94
2014/7/28,594.57
2014/7/29,588.38
2014/7/30,585.12
2014/7/31,586.24
2014/8/1,597.92
2014/8/2,594.91
2014/8/3,589.15
2014/8/4,591.95
2014/8/5,589.87
2014/8/6,587.49
2014/8/7,591.1
2014/8/8,598.12
2014/8/9,592.47
2014/8/10,594.46
2014/8/11,591.51
2014/8/12,576.95
2014/8/13,573.03
2014/8/14,546.24
2014/8/15,518.18
2014/8/16,521.48
2014/8/17,520.19
2014/8/18,499.37
2014/8/19,485.71
2014/8/20,518.28
2014/8/21,531.9
2014/8/22,521.48
2014/8/23,514.3
2014/8/24,512.89
2014/8/25,508.22
2014/8/26,512.69
2014/8/27,520.71
2014/8/28,516.16
2014/8/29,511.69
2014/8/30,509.31
2014/8/31,504.88
2014/9/1,485.31
2014/9/2,482.99
2014/9/3,481.71
2014/9/4,493.93
2014/9/5,490.64
2014/9/6,488.6
2014/9/7,488.07
2014/9/8,489.83
2014/9/9,477.38
2014/9/10,487.47
2014/9/11,482.35
2014/9/12,479.63
2014/9/13,482.12
2014/9/14,479.85
2014/9/15,478.62
2014/9/16,475.64
2014/9/17,468.17
2014/9/18,456.86
2014/9/19,427.83
2014/9/20,423.3
2014/9/21,412.43
2014/9/22,406.92
2014/9/23,441.56
2014/9/24,436.11
2014/9/25,423.52
2014/9/26,414.94
2014/9/27,406.62
2014/9/28,401.02
2014/9/29,385.21
2014/9/30,390.98
2014/10/1,391.38
2014/10/2,385.5
2014/10/3,377.69
2014/10/4,364.49
2014/10/5,341.8
2014/10/6,345.13
2014/10/7,339.25
2014/10/8,354.36
2014/10/9,382.73
2014/10/10,375.07
2014/10/11,367.19
2014/10/12,379.43
2014/10/13,397.23
2014/10/14,411.7
2014/10/15,402.23
2014/10/16,398.81
2014/10/17,385.48
2014/10/18,395.16
2014/10/19,393.94
2014/10/20,390.08
2014/10/21,392.65
2014/10/22,388.58
2014/10/23,385.05
2014/10/24,364.35
2014/10/25,359.86
2014/10/26,359.22
2014/10/27,358.63
2014/10/28,359.98
2014/10/29,357.83
2014/10/30,350.91
2014/10/31,348.05
2014/11/1,340.53
2014/11/2,329.05
2014/11/3,334
2014/11/4,331.77
2014/11/5,343.37
2014/11/6,352.97
2014/11/7,352.73
2014/11/8,347.03
2014/11/9,363.63
2014/11/10,374.82
2014/11/11,371.31
2014/11/12,429.72
2014/11/13,457.09
2014/11/14,419.25
2014/11/15,405.53
2014/11/16,390.8
2014/11/17,410.2
2014/11/18,392.4
2014/11/19,386.48
2014/11/20,382.02
2014/11/21,357.88
2014/11/22,364.84
2014/11/23,370.85
2014/11/24,387.21
2014/11/25,394.7
2014/11/26,377.7
2014/11/27,373.99
2014/11/28,382.84
2014/11/29,387.6
2014/11/30,382.53
2014/12/1,383.66
2014/12/2,384.04
2014/12/3,383.03
2014/12/4,378.65
2014/12/5,379.19
2014/12/6,378.45
2014/12/7,376.29
2014/12/8,376.03
2014/12/9,363.07
2014/12/10,352.38
2014/12/11,361.36
2014/12/12,352.98
2014/12/13,352.38
2014/12/14,353.32
2014/12/15,351.81
2014/12/16,345.86
2014/12/17,333.95
2014/12/18,323.71
2014/12/19,318.53
2014/12/20,330.32
2014/12/21,329.63
2014/12/22,334.12
2014/12/23,336.29
2014/12/24,334.74
2014/12/25,322.67
2014/12/26,331.42
2014/12/27,328.91
2014/12/28,320.03
2014/12/29,320.27
2014/12/30,314.81
2014/12/31,320.19
2015/1/1,320.44
2015/1/2,315.84
2015/1/3,315.15
2015/1/4,287.23
2015/1/5,278.34
2015/1/6,287.55
2015/1/7,298.75
2015/1/8,294.13
2015/1/9,291.11
2015/1/10,288.13
2015/1/11,279.64
2015/1/12,272.2
2015/1/13,268.28
2015/1/14,223.89
2015/1/15,229.07
2015/1/16,221.59
2015/1/17,211.73
2015/1/18,218.69
2015/1/19,216.73
2015/1/20,215.24
2015/1/21,227.79
2015/1/22,237.02
2015/1/23,234.84
2015/1/24,248.21
2015/1/25,255.07
2015/1/26,309.38
2015/1/27,275.48
2015/1/28,266.54
2015/1/29,238.71
2015/1/30,242.85
2015/1/31,233.5
2015/2/1,231.57
2015/2/2,242.18
2015/2/3,245.96
2015/2/4,230.06
2015/2/5,239.41
2015/2/6,230.51
2015/2/7,230.3
2015/2/8,229.44
2015/2/9,223.98
2015/2/10,221.81
2015/2/11,223.41
2015/2/12,222.2
2015/2/13,240.26
2015/2/14,259.81
2015/2/15,265.61
2015/2/16,239.52
2015/2/17,245.78
2015/2/18,244.25
2015/2/19,242.67
2015/2/20,247.1
2015/2/21,255.32
2015/2/22,246.39
2015/2/23,240.11
2015/2/24,239.9
2015/2/25,239.34
2015/2/26,237.71
2015/2/27,256.65
2015/2/28,254.69
2015/3/1,261.66
2015/3/2,276.3
2015/3/3,285.8
2015/3/4,284.23
2015/3/5,281.67
2015/3/6,277.61
2015/3/7,277.85
2015/3/8,277.86
2015/3/9,292.7
2015/3/10,300.04
2015/3/11,297.39
2015/3/12,297.09
2015/3/13,294.5
2015/3/14,286.34
2015/3/15,286.53
2015/3/16,294.11
2015/3/17,292.37
2015/3/18,285.34
2015/3/19,264.24
2015/3/20,264.85
2015/3/21,262.2
2015/3/22,269.75
2015/3/23,277.3
2015/3/24,267
2015/3/25,249.19
2015/3/26,254.35
2015/3/27,256.81
2015/3/28,254.21
2015/3/29,253.14
2015/3/30,249.24
2015/3/31,248.73
2015/4/1,247.54
2015/4/2,254.46
2015/4/3,256.04
2015/4/4,255.26
2015/4/5,260.68
2015/4/6,261.8
2015/4/7,255.81
2015/4/8,253.85
2015/4/9,246.12
2015/4/10,243.69
2015/4/11,239.54
2015/4/12,237.73
2015/4/13,236.94
2015/4/14,224.98
2015/4/15,223.83
2015/4/16,229.67
2015/4/17,228.91
2015/4/18,224.32
2015/4/19,226.35
2015/4/20,226.35
2015/4/21,235.27
2015/4/22,237.91
2015/4/23,236.47
2015/4/24,236.31
2015/4/25,232.56
2015/4/26,226.94
2015/4/27,233.31
2015/4/28,229.5
2015/4/29,227.04
2015/4/30,239.56
2015/5/1,238.97
2015/5/2,235.73
2015/5/3,243.24
2015/5/4,242.64
2015/5/5,239.2
2015/5/6,236.45
2015/5/7,239.1
2015/5/8,246.28
2015/5/9,247.8
2015/5/10,244.07
2015/5/11,244.27
2015/5/12,242.88
2015/5/13,243.7
2015/5/14,237.8
2015/5/15,238.75
2015/5/16,237.7
2015/5/17,238.03
2015/5/18,237.21
2015/5/19,234.15
2015/5/20,234.68
2015/5/21,236.24
2015/5/22,240.97
2015/5/23,241.03
2015/5/24,241.98
2015/5/25,241.02
2015/5/26,238.24
2015/5/27,238.64
2015/5/28,237.82
2015/5/29,237.52
2015/5/30,237.09
2015/5/31,233.25
2015/6/1,231.71
2015/6/2,226.42
2015/6/3,227.4
2015/6/4,226.58
2015/6/5,225.97
2015/6/6,225.72
2015/6/7,226.19
2015/6/8,229.46
2015/6/9,230.95
2015/6/10,229.78
2015/6/11,230.29
2015/6/12,231.06
2015/6/13,232.65
2015/6/14,234.86
2015/6/15,237.84
2015/6/16,251.74
2015/6/17,256.85
2015/6/18,252.11
2015/6/19,250.98
2015/6/20,245.83
2015/6/21,245.22
2015/6/22,247.92
2015/6/23,247.3
2015/6/24,244.34
2015/6/25,243.33
2015/6/26,243.75
2015/6/27,251.34
2015/6/28,251.17
2015/6/29,257.17
2015/6/30,267.87
2015/7/1,265.17
2015/7/2,261.63
2015/7/3,257.08
2015/7/4,261.46
2015/7/5,274.51
2015/7/6,277.42
2015/7/7,271.34
2015/7/8,272.97
2015/7/9,272.33
2015/7/10,294.59
2015/7/11,298.51
2015/7/12,314.39
2015/7/13,310.95
2015/7/14,296.15
2015/7/15,293.25
2015/7/16,291.18
2015/7/17,280.28
2015/7/18,282.53
2015/7/19,275.67
2015/7/20,278.98
2015/7/21,280.55
2015/7/22,277.67
2015/7/23,278.11
2015/7/24,289.25
2015/7/25,290.73
2015/7/26,293.05
2015/7/27,297.77
2015/7/28,296.65
2015/7/29,294.54
2015/7/30,290.13
2015/7/31,288.96
2015/8/1,284.93
2015/8/2,283.03
2015/8/3,285.47
2015/8/4,285.71
2015/8/5,285.5
2015/8/6,281.91
2015/8/7,280.39
2015/8/8,279.93
2015/8/9,267
2015/8/10,267.03
2015/8/11,270.39
2015/8/12,270.67
2015/8/13,266.23
2015/8/14,267.47
2015/8/15,266.67
2015/8/16,262.44
2015/8/17,260.5
2015/8/18,257.99
2015/8/19,237.41
2015/8/20,237.37
2015/8/21,236.43
2015/8/22,234.96
2015/8/23,232.71
2015/8/24,228.14
2015/8/25,226.32
2015/8/26,231.18
2015/8/27,228.64
2015/8/28,235.22
2015/8/29,233.22
2015/8/30,232.07
2015/8/31,231.96
2015/9/1,231.22
2015/9/2,230.58
2015/9/3,229.6
2015/9/4,230.9
2015/9/5,236.14
2015/9/6,242.91
2015/9/7,242.11
2015/9/8,245.78
2015/9/9,244.42
2015/9/10,241.29
2015/9/11,241.17
2015/9/12,240.12
2015/9/13,235.94
2015/9/14,232.44
2015/9/15,259.18
2015/9/16,231.22
2015/9/17,230.28
2015/9/18,234.35
2015/9/19,233.21
2015/9/20,232.37
2015/9/21,231.22
2015/9/22,232.39
2015/9/23,231.84
2015/9/24,235.65
2015/9/25,237.43
2015/9/26,235.4
2015/9/27,234.53
2015/9/28,239.34
2015/9/29,239.8
2015/9/30,237.73
2015/10/1,238.44
2015/10/2,238.54
2015/10/3,239.31
2015/10/4,238.97
2015/10/5,240.38
2015/10/6,246.94
2015/10/7,246.68
2015/10/8,244.25
2015/10/9,244.23
2015/10/10,245.32
2015/10/11,247.24
2015/10/12,247.45
2015/10/13,250.24
2015/10/14,254.28
2015/10/15,255.96
2015/10/16,266.13
2015/10/17,273.58
2015/10/18,271.67
2015/10/19,264.82
2015/10/20,270.83
2015/10/21,270.77
2015/10/22,276.51
2015/10/23,278.68
2015/10/24,281.71
2015/10/25,294.06
2015/10/26,285.3
2015/10/27,296.21
2015/10/28,306.33
2015/10/29,318.17
2015/10/30,334.17
2015/10/31,332.78
2015/11/1,327.47
2015/11/2,365.36
2015/11/3,417.9
2015/11/4,495.56
2015/11/5,447.56
2015/11/6,395.84
2015/11/7,390.59
2015/11/8,389.89
2015/11/9,385.28
